"Symbol","Date","Close","52Hi","MktCap","Delta ErnQ1","Delta RevQ1","RevQ1","ErnQ1","Zax","Ind","Delta ErnQ2","Delta ErnF1","Delta EarnF2","PE F1","PE Ind","P/S","ESP","Avg Vol","Short"
"LNC","1/31/18","77.58","78.74","16570","8.14","3.51","3640","1.91","3","96","-5.21","18.58","1.84","9.92","13.6","1.23","-2.04","1119235","0"
"LNG","2/27/18","55.27","54.83","11830","164.71","135.97","1350","0.22","5","69","-167.39","58.97","227.25","53.73","-8.3","2.94","77.27","2073329","8.09"
"LOW","3/7/18","92.01","93.55","71010","-0.09","-3.18","15280","0.86","3","40","14.70","12.98","13.18","20.32","18.4","1.1","-3.79","5496386","1.3"
"LULU","4/4/18","78.59","80.27","10120","21.64","11.50","880.81","1.22","1","34","17.86","15.75","15.49","32.17","-4.2","4.3","0.00","2043706","3.96"
"LVS","1/24/18","68.32","72.20","55770","20.97","3.56","3180","0.75","2","52","12.12","23.46","3.79","23.14","14.1","4.36","1.33","2271239","2.56"
"M","2/20/18","25.33","36.40","7550","21.36","0.18","8530","2.45","3","21","-14.58","9.14","-26.22","7.75","17.7","0.32","-0.47","9732447","4.14"
"MA","2/1/18","153.82","154.65","160840","30.01","18.28","3260","1.12","3","164","19.27","20.54","17.59","28.43","19.8","13.47","0.77","2549869","2.03"
"MBI","3/7/18","7.50","11.65","680.24","N/A","N/A","N/A","N/A","N/A","107","N/A","N/A","N/A","N/A","N/A","N/A","0.00","2278545","6.98"
"MCD","1/22/18","172.49","175.78","138020","10.07","-12.82","5260","1.59","2","229","4.68","14.47","6.75","24.87","21.2","5.87","0.06","2469974","1.97"
"MCO","2/16/18","148.70","153.86","28570","13.28","12.59","1060","1.39","2","169","5.31","23.32","9.83","22.43","20.8","7.02","-0.60","601534","0"
"MDLZ","2/6/18","42.58","47.23","63910","19.68","3.18","6990","0.56","3","192","11.95","10.36","11.07","17.83","58.6","2.47","1.93","8260746","1.7"
"MDT","2/20/18","83.92","89.72","110760","4.69","-1.21","7200","1.17","3","176","6.43","3.66","7.95","17.24","-24.1","3.75","-0.21","3957459","2.35"
"MET","2/7/18","50.50","55.91","55240","-17.93","-7.82","15860","1.11","3","107","-22.38","-3.76","7.80","10.54","24.3","0.85","-0.12","4469886","0"
"MGM","2/15/18","33.33","34.65","18590","-36.36","1.86","2510","0.07","3","52","-27.19","-9.84","21.30","25.11","14.1","1.75","0.00","6274563","0"
"MJN","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MMM","1/23/18","235.63","244.23","141800","7.54","7.35","7870","2.02","3","100","9.72","11.48","7.96","23.99","28.3","4.53","0.00","1774299","0"
"MNKD","3/15/18","2.62","6.96","353.05","-52.63","-74.03","3.22","-0.29","4","160","-18.18","-294.83","13.27","N/A","-8.8","16.12","0.00","2834780","4.6"
"MO","2/7/18","70.48","77.79","136990","18.38","21.13","4820","0.81","4","239","13.36","8.38","8.60","19.84","13.8","5.25","-0.62","6427420","1.8"
"MON","1/4/18","118.00","122.80","51880","80.95","2.77","2720","0.38","3","249","5.02","4.29","10.77","20.49","20.7","3.54","0.00","2844281","0.75"
"MOS","2/6/18","26.41","34.36","8740","-1.92","0.89","1880","0.26","2","75","450.00","14.40","9.10","24.26","2.3","1.3","21.57","4904581","3.96"
"MRK","2/1/18","56.14","66.80","152600","5.49","3.04","10420","0.94","3","80","3.41","4.28","3.51","13.78","17.4","3.85","0.65","10330910","1.47"
"MRO","2/14/18","17.67","18.27","12850","101.11","-9.06","1260","0.00","3","42","203.57","61.62","95.54","N/A","58","3.09","-1,300.09","9829601","2.07"
"MRVL","3/1/18","22.89","24.22","10630","42.05","7.04","611.65","0.31","1","59","23.15","88.22","12.46","18.72","-50.7","4.6","-0.80","5115371","1.85"
"MS","1/16/18","52.33","54.25","95190","-3.50","1.67","9170","0.78","2","38","19.33","22.70","13.84","12.80","24.8","2.22","0.43","6709465","1.46"
"MSFT","1/25/18","86.35","87.50","653350","3.53","8.74","28340","0.86","3","202","7.76","2.21","10.98","25.41","56.3","7.05","2.41","19695364","2.26"
"MSI","2/1/18","89.86","95.30","14940","-0.08","3.23","1940","2.03","2","100","5.35","9.52","5.91","15.87","13.1","2.33","-1.40","954125","10.37"
"MT","2/9/18","34.91","34.08","31660","66.67","23.65","17470","0.80","3","183","N/A","170.31","-16.70","10.51","15.2","0.53","0.00","2730806","1.96"
"MTG","1/18/18","14.13","15.64","5450","-0.89","3.54","276.00","0.28","1","107","-1.61","22.47","3.92","11.32","24.3","4.98","-1.50","2584952","1.65"
"MU","3/22/18","44.98","49.89","48880","185.88","51.10","7020","2.57","1","1","54.22","98.13","-9.70","4.44","4.5","2.18","0.00","36450236","1.63"
"MYL","3/7/18","43.14","45.87","21460","-10.72","0.50","3280","1.40","3","218","24.73","-6.70","15.64","8.17","-26.6","1.94","-5.12","6159683","4.61"
"NBR","2/28/18","7.05","18.40","1600","-7.27","31.70","710.12","-0.32","3","107","49.74","13.01","53.89","N/A","-11.2","0.91","-4.10","9755414","0.05"
"NE","2/8/18","4.90","7.80","957.82","-119.39","-33.69","271.97","-0.33","3","107","-125.21","-2262.00","-24.54","N/A","-11.2","0.87","-1.29","6536665","5.61"
"NEM","2/20/18","37.84","39.63","19150","10.30","7.47","1920","0.36","1","57","24.00","-10.68","-10.29","29.58","26.4","2.83","-4.76","4408935","0.08"
"NFLX","1/22/18","205.05","201.65","82030","176.47","32.40","3280","0.41","3","235","41.95","192.88","83.37","87.06","16.1","7.99","-1.74","5249863","3.75"
"NKE","3/20/18","63.48","65.19","105280","-20.98","4.39","8800","0.54","3","96","14.36","-10.31","15.84","28.20","17.7","2.98","-3.66","8929042","3.34"
"NLY","2/21/18","11.46","12.73","14100","-2.22","N/A","N/A","0.29","3","178","-6.45","2.28","2.51","9.51","10.3","5.3","2.27","7140561","2.16"
"NOK","2/1/18","4.83","6.65","26920","-19.23","2.24","7320","0.11","3","100","33.33","38.54","-18.05","17.47","13.1","1.09","-14.29","11314736","1.91"
"NOV","2/5/18","37.85","41.90","12320","71.79","14.42","1940","-0.04","3","185","98.24","51.56","178.16","115.72","-34","1.99","-6.36","2593474","9.67"
"NQ","4/5/18","3.99","4.68","403.58","N/A","N/A","N/A","N/A","N/A","206","N/A","N/A","N/A","N/A","N/A","2.83","0.00","1049836","3.67"
"NTAP","2/21/18","57.07","58.99","15310","9.15","6.04","1490","0.90","1","32","14.86","21.11","8.50","16.81","16.5","2.63","0.00","2076192","5.99"
